ancestry	filter	af_limit	total_vars	filtered_vars	proportion_removed
afr	esp_global_nonsing_filter	1e-06	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	1e-06	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	1e-06	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	1e-06	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	1e-06	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	1e-06	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	1e-06	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	1e-06	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	1e-06	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	1e-06	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	1e-06	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	1e-06	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	1e-06	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	1e-06	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	1e-06	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	1e-06	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	1e-06	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	1e-06	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	1e-06	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	1e-06	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	1e-06	13821.07	66.74	0.995171140874042
amr	exac_global_nonsing_filter	1e-06	12420.21	47.89	0.996144187578149
eas	exac_global_nonsing_filter	1e-06	12642.85	69.11	0.994533669228062
nfe	exac_global_nonsing_filter	1e-06	12136.5	41.42	0.996587154451448
sas	exac_global_nonsing_filter	1e-06	12413.7	61.92	0.995011962589719
afr	exac_popmax_nonsing_filter	1e-06	13821.07	66.78	0.995168246742112
amr	exac_popmax_nonsing_filter	1e-06	12420.21	47.9	0.996143382438783
eas	exac_popmax_nonsing_filter	1e-06	12642.85	69.15	0.994530505384466
nfe	exac_popmax_nonsing_filter	1e-06	12136.5	41.51	0.996579738804433
sas	exac_popmax_nonsing_filter	1e-06	12413.7	61.94	0.995010351466525
afr	esp_global_nonsing_filter	3.16227766016838e-06	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	3.16227766016838e-06	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	3.16227766016838e-06	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	3.16227766016838e-06	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	3.16227766016838e-06	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	3.16227766016838e-06	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	3.16227766016838e-06	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	3.16227766016838e-06	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	3.16227766016838e-06	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	3.16227766016838e-06	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	3.16227766016838e-06	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	3.16227766016838e-06	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	3.16227766016838e-06	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	3.16227766016838e-06	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	3.16227766016838e-06	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	3.16227766016838e-06	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	3.16227766016838e-06	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	3.16227766016838e-06	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	3.16227766016838e-06	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	3.16227766016838e-06	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	3.16227766016838e-06	13821.07	66.74	0.995171140874042
amr	exac_global_nonsing_filter	3.16227766016838e-06	12420.21	47.89	0.996144187578149
eas	exac_global_nonsing_filter	3.16227766016838e-06	12642.85	69.11	0.994533669228062
nfe	exac_global_nonsing_filter	3.16227766016838e-06	12136.5	41.42	0.996587154451448
sas	exac_global_nonsing_filter	3.16227766016838e-06	12413.7	61.92	0.995011962589719
afr	exac_popmax_nonsing_filter	3.16227766016838e-06	13821.07	66.78	0.995168246742112
amr	exac_popmax_nonsing_filter	3.16227766016838e-06	12420.21	47.9	0.996143382438783
eas	exac_popmax_nonsing_filter	3.16227766016838e-06	12642.85	69.15	0.994530505384466
nfe	exac_popmax_nonsing_filter	3.16227766016838e-06	12136.5	41.51	0.996579738804433
sas	exac_popmax_nonsing_filter	3.16227766016838e-06	12413.7	61.94	0.995010351466525
afr	esp_global_nonsing_filter	1e-05	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	1e-05	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	1e-05	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	1e-05	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	1e-05	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	1e-05	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	1e-05	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	1e-05	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	1e-05	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	1e-05	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	1e-05	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	1e-05	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	1e-05	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	1e-05	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	1e-05	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	1e-05	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	1e-05	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	1e-05	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	1e-05	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	1e-05	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	1e-05	13821.07	66.74	0.995171140874042
amr	exac_global_nonsing_filter	1e-05	12420.21	47.89	0.996144187578149
eas	exac_global_nonsing_filter	1e-05	12642.85	69.11	0.994533669228062
nfe	exac_global_nonsing_filter	1e-05	12136.5	41.42	0.996587154451448
sas	exac_global_nonsing_filter	1e-05	12413.7	61.92	0.995011962589719
afr	exac_popmax_nonsing_filter	1e-05	13821.07	66.78	0.995168246742112
amr	exac_popmax_nonsing_filter	1e-05	12420.21	47.9	0.996143382438783
eas	exac_popmax_nonsing_filter	1e-05	12642.85	69.15	0.994530505384466
nfe	exac_popmax_nonsing_filter	1e-05	12136.5	41.51	0.996579738804433
sas	exac_popmax_nonsing_filter	1e-05	12413.7	61.94	0.995010351466525
afr	esp_global_nonsing_filter	3.16227766016838e-05	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	3.16227766016838e-05	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	3.16227766016838e-05	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	3.16227766016838e-05	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	3.16227766016838e-05	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	3.16227766016838e-05	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	3.16227766016838e-05	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	3.16227766016838e-05	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	3.16227766016838e-05	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	3.16227766016838e-05	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	3.16227766016838e-05	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	3.16227766016838e-05	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	3.16227766016838e-05	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	3.16227766016838e-05	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	3.16227766016838e-05	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	3.16227766016838e-05	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	3.16227766016838e-05	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	3.16227766016838e-05	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	3.16227766016838e-05	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	3.16227766016838e-05	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	3.16227766016838e-05	13821.07	98.06	0.992905035572499
amr	exac_global_nonsing_filter	3.16227766016838e-05	12420.21	70.53	0.994321352054434
eas	exac_global_nonsing_filter	3.16227766016838e-05	12642.85	99.13	0.99215920460972
nfe	exac_global_nonsing_filter	3.16227766016838e-05	12136.5	57.81	0.995236682733902
sas	exac_global_nonsing_filter	3.16227766016838e-05	12413.7	85.86	0.993083448125861
afr	exac_popmax_nonsing_filter	3.16227766016838e-05	13821.07	68.78	0.995023540145589
amr	exac_popmax_nonsing_filter	3.16227766016838e-05	12420.21	49.23	0.996036298903159
eas	exac_popmax_nonsing_filter	3.16227766016838e-05	12642.85	70.37	0.994434008154807
nfe	exac_popmax_nonsing_filter	3.16227766016838e-05	12136.5	47.71	0.996068883121163
sas	exac_popmax_nonsing_filter	3.16227766016838e-05	12413.7	63.11	0.994916100759645
afr	esp_global_nonsing_filter	1e-04	13821.07	959.59	0.93057049852146
amr	esp_global_nonsing_filter	1e-04	12420.21	996.79	0.919744513176508
eas	esp_global_nonsing_filter	1e-04	12642.85	1248.62	0.901239040248045
nfe	esp_global_nonsing_filter	1e-04	12136.5	888.75	0.92677048572488
sas	esp_global_nonsing_filter	1e-04	12413.7	1151.87	0.907209776295544
afr	esp_popmax_nonsing_filter	1e-04	13821.07	959.59	0.93057049852146
amr	esp_popmax_nonsing_filter	1e-04	12420.21	996.79	0.919744513176508
eas	esp_popmax_nonsing_filter	1e-04	12642.85	1248.62	0.901239040248045
nfe	esp_popmax_nonsing_filter	1e-04	12136.5	888.75	0.92677048572488
sas	esp_popmax_nonsing_filter	1e-04	12413.7	1151.87	0.907209776295544
afr	kg_global_nonsing_filter	1e-04	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	1e-04	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	1e-04	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	1e-04	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	1e-04	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	1e-04	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	1e-04	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	1e-04	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	1e-04	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	1e-04	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	1e-04	13821.07	163.44	0.988174576932177
amr	exac_global_nonsing_filter	1e-04	12420.21	114.15	0.990809334141693
eas	exac_global_nonsing_filter	1e-04	12642.85	165.31	0.986924625381144
nfe	exac_global_nonsing_filter	1e-04	12136.5	85.66	0.992941951963087
sas	exac_global_nonsing_filter	1e-04	12413.7	140.83	0.988655276025681
afr	exac_popmax_nonsing_filter	1e-04	13821.07	77.59	0.994386107587907
amr	exac_popmax_nonsing_filter	1e-04	12420.21	57.77	0.995348709884938
eas	exac_popmax_nonsing_filter	1e-04	12642.85	74.35	0.994119205717065
nfe	exac_popmax_nonsing_filter	1e-04	12136.5	65.91	0.994569274502534
sas	exac_popmax_nonsing_filter	1e-04	12413.7	70.26	0.994340124217598
afr	esp_global_nonsing_filter	0.000316227766016838	13821.07	1016.58	0.92644708405355
amr	esp_global_nonsing_filter	0.000316227766016838	12420.21	1048.57	0.915575501541439
eas	esp_global_nonsing_filter	0.000316227766016838	12642.85	1331.86	0.894655081726035
nfe	esp_global_nonsing_filter	0.000316227766016838	12136.5	915.65	0.924554031228114
sas	esp_global_nonsing_filter	0.000316227766016838	12413.7	1193.52	0.903854612242925
afr	esp_popmax_nonsing_filter	0.000316227766016838	13821.07	965.66	0.930131314001014
amr	esp_popmax_nonsing_filter	0.000316227766016838	12420.21	1016.46	0.918160804044376
eas	esp_popmax_nonsing_filter	0.000316227766016838	12642.85	1279.93	0.898762541673752
nfe	esp_popmax_nonsing_filter	0.000316227766016838	12136.5	902.49	0.925638363613892
sas	esp_popmax_nonsing_filter	0.000316227766016838	12413.7	1172.05	0.905584152992259
afr	kg_global_nonsing_filter	0.000316227766016838	13821.07	524.42	0.962056483325821
amr	kg_global_nonsing_filter	0.000316227766016838	12420.21	492.3	0.960362989031586
eas	kg_global_nonsing_filter	0.000316227766016838	12642.85	517.64	0.959056700032034
nfe	kg_global_nonsing_filter	0.000316227766016838	12136.5	446.53	0.963207679314465
sas	kg_global_nonsing_filter	0.000316227766016838	12413.7	516.04	0.958429799334606
afr	kg_popmax_nonsing_filter	0.000316227766016838	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	0.000316227766016838	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	0.000316227766016838	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	0.000316227766016838	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	0.000316227766016838	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	0.000316227766016838	13821.07	268.14	0.980599186604221
amr	exac_global_nonsing_filter	0.000316227766016838	12420.21	162.09	0.986949496023014
eas	exac_global_nonsing_filter	0.000316227766016838	12642.85	246.67	0.980489367508117
nfe	exac_global_nonsing_filter	0.000316227766016838	12136.5	115.96	0.990445350801302
sas	exac_global_nonsing_filter	0.000316227766016838	12413.7	204.33	0.983539959883032
afr	exac_popmax_nonsing_filter	0.000316227766016838	13821.07	117.41	0.991504999251143
amr	exac_popmax_nonsing_filter	0.000316227766016838	12420.21	89.81	0.99276904335756
eas	exac_popmax_nonsing_filter	0.000316227766016838	12642.85	103.8	0.991789825869958
nfe	exac_popmax_nonsing_filter	0.000316227766016838	12136.5	96.07	0.992084208791661
sas	exac_popmax_nonsing_filter	0.000316227766016838	12413.7	114.18	0.990802097682399
afr	esp_global_nonsing_filter	0.001	13821.07	1113.28	0.919450520111685
amr	esp_global_nonsing_filter	0.001	12420.21	1147.54	0.907607037240111
eas	esp_global_nonsing_filter	0.001	12642.85	1421.48	0.887566490150559
nfe	esp_global_nonsing_filter	0.001	12136.5	953	0.921476537716805
sas	esp_global_nonsing_filter	0.001	12413.7	1238.56	0.900226362808832
afr	esp_popmax_nonsing_filter	0.001	13821.07	1024.44	0.925878387129216
amr	esp_popmax_nonsing_filter	0.001	12420.21	1094.7	0.911861393647934
eas	esp_popmax_nonsing_filter	0.001	12642.85	1379.7	0.890871124785946
nfe	esp_popmax_nonsing_filter	0.001	12136.5	939.25	0.922609483788572
sas	esp_popmax_nonsing_filter	0.001	12413.7	1219.61	0.901752902035654
afr	kg_global_nonsing_filter	0.001	13821.07	637.16	0.953899372479844
amr	kg_global_nonsing_filter	0.001	12420.21	537.62	0.956714097426694
eas	kg_global_nonsing_filter	0.001	12642.85	600.94	0.95246799574463
nfe	kg_global_nonsing_filter	0.001	12136.5	506.09	0.95830016891196
sas	kg_global_nonsing_filter	0.001	12413.7	601	0.951585748004221
afr	kg_popmax_nonsing_filter	0.001	13821.07	524.42	0.962056483325821
amr	kg_popmax_nonsing_filter	0.001	12420.21	492.3	0.960362989031586
eas	kg_popmax_nonsing_filter	0.001	12642.85	517.64	0.959056700032034
nfe	kg_popmax_nonsing_filter	0.001	12136.5	446.53	0.963207679314465
sas	kg_popmax_nonsing_filter	0.001	12413.7	516.04	0.958429799334606
afr	exac_global_nonsing_filter	0.001	13821.07	483.43	0.96502224502155
amr	exac_global_nonsing_filter	0.001	12420.21	212.97	0.982852946930849
eas	exac_global_nonsing_filter	0.001	12642.85	342.18	0.97293489996322
nfe	exac_global_nonsing_filter	0.001	12136.5	155.94	0.987151155604993
sas	exac_global_nonsing_filter	0.001	12413.7	289.26	0.976698325237439
afr	exac_popmax_nonsing_filter	0.001	13821.07	174.54	0.987371455321477
amr	exac_popmax_nonsing_filter	0.001	12420.21	135.28	0.989108074662184
eas	exac_popmax_nonsing_filter	0.001	12642.85	162.19	0.987171405181585
nfe	exac_popmax_nonsing_filter	0.001	12136.5	132.43	0.98908828739752
sas	exac_popmax_nonsing_filter	0.001	12413.7	169.81	0.9863207585168
afr	esp_global_nonsing_filter	0.00316227766016838	13821.07	1316.6	0.904739647509202
amr	esp_global_nonsing_filter	0.00316227766016838	12420.21	1251.66	0.8992239261655
eas	esp_global_nonsing_filter	0.00316227766016838	12642.85	1495.72	0.881694396437512
nfe	esp_global_nonsing_filter	0.00316227766016838	12136.5	1021.51	0.915831582416677
sas	esp_global_nonsing_filter	0.00316227766016838	12413.7	1302.66	0.895062712970347
afr	esp_popmax_nonsing_filter	0.00316227766016838	13821.07	1127.6	0.918414420880583
amr	esp_popmax_nonsing_filter	0.00316227766016838	12420.21	1210.83	0.902511310195238
eas	esp_popmax_nonsing_filter	0.00316227766016838	12642.85	1466.9	0.883973945747992
nfe	esp_popmax_nonsing_filter	0.00316227766016838	12136.5	997.78	0.917786841346352
sas	esp_popmax_nonsing_filter	0.00316227766016838	12413.7	1278.57	0.897003310858165
afr	kg_global_nonsing_filter	0.00316227766016838	13821.07	826.83	0.940176122398628
amr	kg_global_nonsing_filter	0.00316227766016838	12420.21	597.9	0.951860717330866
eas	kg_global_nonsing_filter	0.00316227766016838	12642.85	691.54	0.945301890001068
nfe	kg_global_nonsing_filter	0.00316227766016838	12136.5	588.19	0.951535450912537
sas	kg_global_nonsing_filter	0.00316227766016838	12413.7	701.45	0.943493881759669
afr	kg_popmax_nonsing_filter	0.00316227766016838	13821.07	621.59	0.955025913333772
amr	kg_popmax_nonsing_filter	0.00316227766016838	12420.21	527.48	0.957530508743411
eas	kg_popmax_nonsing_filter	0.00316227766016838	12642.85	574.26	0.954578279422757
nfe	kg_popmax_nonsing_filter	0.00316227766016838	12136.5	498.08	0.958960161496313
sas	kg_popmax_nonsing_filter	0.00316227766016838	12413.7	578.53	0.953395844913281
afr	exac_global_nonsing_filter	0.00316227766016838	13821.07	976.47	0.92934917484681
amr	exac_global_nonsing_filter	0.00316227766016838	12420.21	288.9	0.97673952372786
eas	exac_global_nonsing_filter	0.00316227766016838	12642.85	461.98	0.963459188395022
nfe	exac_global_nonsing_filter	0.00316227766016838	12136.5	225.22	0.981442755324847
sas	exac_global_nonsing_filter	0.00316227766016838	12413.7	401.23	0.967678452032835
afr	exac_popmax_nonsing_filter	0.00316227766016838	13821.07	276.22	0.98001457195427
amr	exac_popmax_nonsing_filter	0.00316227766016838	12420.21	191.21	0.984604930190391
eas	exac_popmax_nonsing_filter	0.00316227766016838	12642.85	236.22	0.981315921647413
nfe	exac_popmax_nonsing_filter	0.00316227766016838	12136.5	188.51	0.98446751534627
sas	exac_popmax_nonsing_filter	0.00316227766016838	12413.7	246.47	0.980145323312147
afr	esp_global_nonsing_filter	0.01	13821.07	1796.78	0.869997040750101
amr	esp_global_nonsing_filter	0.01	12420.21	1385.39	0.888456797429351
eas	esp_global_nonsing_filter	0.01	12642.85	1604.55	0.87308636897535
nfe	esp_global_nonsing_filter	0.01	12136.5	1149.97	0.905246982243645
sas	esp_global_nonsing_filter	0.01	12413.7	1412.4	0.886222480001933
afr	esp_popmax_nonsing_filter	0.01	13821.07	1353.34	0.902081387331082
amr	esp_popmax_nonsing_filter	0.01	12420.21	1327	0.893158006185081
eas	esp_popmax_nonsing_filter	0.01	12642.85	1560	0.876610099779717
nfe	esp_popmax_nonsing_filter	0.01	12136.5	1104.15	0.909022370535163
sas	esp_popmax_nonsing_filter	0.01	12413.7	1368.61	0.889750034236368
afr	kg_global_nonsing_filter	0.01	13821.07	1311.56	0.905104308132438
amr	kg_global_nonsing_filter	0.01	12420.21	753.69	0.939317451154208
eas	kg_global_nonsing_filter	0.01	12642.85	821.43	0.935028098885932
nfe	kg_global_nonsing_filter	0.01	12136.5	751.66	0.938066164050591
sas	kg_global_nonsing_filter	0.01	12413.7	858.34	0.930855425860138
afr	kg_popmax_nonsing_filter	0.01	13821.07	809.54	0.941427110925565
amr	kg_popmax_nonsing_filter	0.01	12420.21	585.75	0.952838961660069
eas	kg_popmax_nonsing_filter	0.01	12642.85	662.69	0.947583812194244
nfe	kg_popmax_nonsing_filter	0.01	12136.5	590.68	0.951330284678449
sas	kg_popmax_nonsing_filter	0.01	12413.7	674.98	0.945626203307636
afr	exac_global_nonsing_filter	0.01	13821.07	1799	0.869836416427961
amr	exac_global_nonsing_filter	0.01	12420.21	458.57	0.96307872411175
eas	exac_global_nonsing_filter	0.01	12642.85	594.88	0.952947318049332
nfe	exac_global_nonsing_filter	0.01	12136.5	356.19	0.970651340996169
sas	exac_global_nonsing_filter	0.01	12413.7	536.22	0.95680417603132
afr	exac_popmax_nonsing_filter	0.01	13821.07	490.67	0.964498407142139
amr	exac_popmax_nonsing_filter	0.01	12420.21	266	0.97858329287508
eas	exac_popmax_nonsing_filter	0.01	12642.85	329	0.973977386427902
nfe	exac_popmax_nonsing_filter	0.01	12136.5	289.16	0.976174350100935
sas	exac_popmax_nonsing_filter	0.01	12413.7	364.21	0.970660641065919
afr	esp_global_nonsing_filter	0.05	13821.07	3091.13	0.776346549145616
amr	esp_global_nonsing_filter	0.05	12420.21	1841.25	0.851753714309178
eas	esp_global_nonsing_filter	0.05	12642.85	2040.78	0.838582281684905
nfe	esp_global_nonsing_filter	0.05	12136.5	1563.52	0.871172084208792
sas	esp_global_nonsing_filter	0.05	12413.7	1815.41	0.853757542070454
afr	esp_popmax_nonsing_filter	0.05	13821.07	2240.03	0.83792644129579
amr	esp_popmax_nonsing_filter	0.05	12420.21	1673.22	0.86528247106933
eas	esp_popmax_nonsing_filter	0.05	12642.85	1879.38	0.851348390592311
nfe	esp_popmax_nonsing_filter	0.05	12136.5	1443.86	0.881031598895893
sas	esp_popmax_nonsing_filter	0.05	12413.7	1676.54	0.864944375971709
afr	kg_global_nonsing_filter	0.05	13821.07	2568.34	0.81417212994363
amr	kg_global_nonsing_filter	0.05	12420.21	1197.52	0.90358295069085
eas	kg_global_nonsing_filter	0.05	12642.85	1139.15	0.909897689207734
nfe	kg_global_nonsing_filter	0.05	12136.5	1165.3	0.903983850368722
sas	kg_global_nonsing_filter	0.05	12413.7	1236.54	0.90038908625148
afr	kg_popmax_nonsing_filter	0.05	13821.07	1552.77	0.887651969058836
amr	kg_popmax_nonsing_filter	0.05	12420.21	818.03	0.934137184475947
eas	kg_popmax_nonsing_filter	0.05	12642.85	860.21	0.931960752520199
nfe	kg_popmax_nonsing_filter	0.05	12136.5	867.37	0.92853211387138
sas	kg_popmax_nonsing_filter	0.05	12413.7	951.88	0.923320202679298
afr	exac_global_nonsing_filter	0.05	13821.07	2838.02	0.794659892468528
amr	exac_global_nonsing_filter	0.05	12420.21	941	0.924236385697182
eas	exac_global_nonsing_filter	0.05	12642.85	1025.33	0.918900406158422
nfe	exac_global_nonsing_filter	0.05	12136.5	766.08	0.9368780126066
sas	exac_global_nonsing_filter	0.05	12413.7	952.66	0.923257368874711
afr	exac_popmax_nonsing_filter	0.05	13821.07	1320.83	0.904433593057556
amr	exac_popmax_nonsing_filter	0.05	12420.21	489.06	0.96062385418604
eas	exac_popmax_nonsing_filter	0.05	12642.85	543.16	0.957038167818174
nfe	exac_popmax_nonsing_filter	0.05	12136.5	579.13	0.952281959378734
sas	exac_popmax_nonsing_filter	0.05	12413.7	651.06	0.9475531066483
